algorithm,taskCount,n,improvement_pct_makespan_vs_GREEDY_LPT,improvement_pct_energy_vs_GREEDY_LPT,improvement_pct_cost_vs_GREEDY_LPT,improvement_pct_imbalance_vs_GREEDY_LPT,improvement_pct_objective_vs_GREEDY_LPT
AOA,1000,30,0.0,0.0,0.0,0.0,0.0
AOA,200,30,0.0,0.0,0.0,0.0,0.0
AOA,2000,30,0.0,0.0,0.0,0.0,0.0
AOA,500,30,0.0,0.0,0.0,0.0,0.0
AOA,5000,30,0.0,0.0,0.0,0.0,0.0
CBO,1000,30,0.0,0.0,0.0,0.0,0.0
CBO,200,30,0.0,0.0,0.0,0.0,0.0
CBO,2000,30,0.0,0.0,0.0,0.0,0.0
CBO,500,30,-0.0152822,0.00192747,-0.00021191,0.03470832,0.006269
CBO,5000,30,0.0,0.0,0.0,0.0,0.0
GREEDY_LPT,1000,30,0.0,0.0,0.0,0.0,0.0
GREEDY_LPT,200,30,0.0,0.0,0.0,0.0,0.0
GREEDY_LPT,2000,30,0.0,0.0,0.0,0.0,0.0
GREEDY_LPT,500,30,0.0,0.0,0.0,0.0,0.0
GREEDY_LPT,5000,30,0.0,0.0,0.0,0.0,0.0
GWO,1000,30,0.0,0.0,0.0,0.0,0.0
GWO,200,30,0.0,0.0,0.0,0.0,0.0
GWO,2000,30,0.0,0.0,0.0,0.0,0.0
GWO,500,30,0.0,0.0,0.0,0.0,0.0
GWO,5000,30,0.0,0.0,0.0,0.0,0.0
LSCBO,1000,30,0.00054252,0.00834336,0.0028106,6.28433924,1.629957
LSCBO,200,30,0.01243576,0.06941461,0.02497424,6.81387883,1.736779
LSCBO,2000,30,0.00037241,0.0038704,0.00126502,6.43913938,1.655579
LSCBO,500,30,0.00086208,0.01857535,0.00583009,6.60739554,1.738325
LSCBO,5000,30,0.00023893,0.00136186,0.00049881,5.64722229,1.476006
PSO,1000,30,0.0,0.0,0.0,0.0,0.0
PSO,200,30,0.0,-0.0016226,-0.00026283,0.05745728,0.007091
PSO,2000,30,0.0,0.0,0.0,0.0,0.0
PSO,500,30,0.0,0.0,0.0,0.0,0.0
PSO,5000,30,0.0,0.0,0.0,0.0,0.0
WOA,1000,30,0.0,0.0,0.0,0.0,0.0
WOA,200,30,0.0,0.0,0.0,0.0,0.0
WOA,2000,30,0.0,0.0,0.0,0.0,0.0
WOA,500,30,0.0,0.0,0.0,0.0,0.0
WOA,5000,30,0.0,0.0,0.0,0.0,0.0
