algorithm,taskCount,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
AOA,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
AOA,200,30,33.86870357,115.1420436,250.84350144,0.01261807,1.0
AOA,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
AOA,500,30,84.4481244,291.66460707,633.78456086,0.0037455,1.0
AOA,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
CBO,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
CBO,200,30,33.86870357,115.1420436,250.84350144,0.01261807,1.0
CBO,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
CBO,500,30,84.46102993,291.65898533,633.78590393,0.0037442,0.99993731
CBO,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
GREEDY_LPT,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
GREEDY_LPT,200,30,33.86870357,115.1420436,250.84350144,0.01261807,1.0
GREEDY_LPT,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
GREEDY_LPT,500,30,84.4481244,291.66460707,633.78456086,0.0037455,1.0
GREEDY_LPT,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
GWO,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
GWO,200,30,33.86870357,115.1420436,250.84350144,0.01261807,1.0
GWO,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
GWO,500,30,84.4481244,291.66460707,633.78456086,0.0037455,1.0
GWO,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
LSCBO,1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
LSCBO,200,30,33.86449174,115.0621182,250.78085519,0.01175829,0.98263221
LSCBO,2000,30,335.90043605,1164.538668,2528.16097621,0.00090493,0.98344421
LSCBO,500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
LSCBO,5000,30,835.40739649,2898.90131789,6291.51921426,0.00038027,0.98523994
PSO,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
PSO,200,30,33.86870357,115.1439119,250.84416073,0.01261082,0.99992909
PSO,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
PSO,500,30,84.4481244,291.66460707,633.78456086,0.0037455,1.0
PSO,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
WOA,1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.0
WOA,200,30,33.86870357,115.1420436,250.84350144,0.01261807,1.0
WOA,2000,30,335.90168699,1164.58374208,2528.19295841,0.00096721,1.0
WOA,500,30,84.4481244,291.66460707,633.78456086,0.0037455,1.0
WOA,5000,30,835.40939254,2898.9407974,6291.55059701,0.00040303,1.0
