vmProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
heterogeneous_20_to_1,AOA,90,1508.93993406,3664.98377278,1862.91425162,3.88244118,3.96036639
heterogeneous_20_to_1,CBO,90,1497.00700234,3640.22611441,1863.09896048,3.85216114,3.93141707
heterogeneous_20_to_1,DBO,90,1500.85820532,3648.25741321,1863.11328718,3.87589294,3.95305966
heterogeneous_20_to_1,GTO,90,1504.45989375,3656.27906195,1864.04592326,3.88420598,3.96436651
heterogeneous_20_to_1,GWO,90,1495.11648674,3637.00482584,1864.39007459,3.8676502,3.94967449
heterogeneous_20_to_1,HHO,90,1486.34046805,3617.07358754,1861.42391569,3.82593015,3.90795727
heterogeneous_20_to_1,LSCBO,90,992.37349813,2549.70838809,1792.54269391,2.6333784,2.67274758
heterogeneous_20_to_1,PSO,90,1500.33723351,3646.85262962,1862.538321,3.86294828,3.9407643
heterogeneous_20_to_1,WOA,90,1494.0723495,3635.08025446,1864.84136073,3.84327326,3.92891062
medium_5_to_1,AOA,90,498.9685788,1382.03727163,1541.00313176,2.01249559,1.84662219
medium_5_to_1,CBO,90,497.88110947,1380.34863578,1542.04159724,2.00913079,1.84587581
medium_5_to_1,DBO,90,500.67403224,1385.95058153,1541.65163917,2.016142,1.84944104
medium_5_to_1,GTO,90,499.6974434,1383.99586453,1541.79535673,2.01186776,1.84754837
medium_5_to_1,GWO,90,500.4495655,1385.52948584,1541.73541721,2.01974985,1.85299399
medium_5_to_1,HHO,90,499.04397574,1382.51381256,1541.57816692,2.00702863,1.8436096
medium_5_to_1,LSCBO,90,402.08292003,1168.85679761,1520.59949893,1.63093875,1.53014716
medium_5_to_1,PSO,90,498.51358164,1380.86258281,1540.59493122,2.01326444,1.846232
medium_5_to_1,WOA,90,496.99893656,1378.05368605,1541.21883611,2.00442521,1.84117543
near_homogeneous_1_5_to_1,AOA,90,183.64825702,590.76347856,1299.16151094,1.23999375,1.16079266
near_homogeneous_1_5_to_1,CBO,90,183.28773878,589.98152927,1299.10594559,1.23758395,1.15917938
near_homogeneous_1_5_to_1,DBO,90,183.95313746,591.4100945,1299.18211795,1.2418227,1.16208134
near_homogeneous_1_5_to_1,GTO,90,183.19803132,589.8332741,1299.17548927,1.2365113,1.15860048
near_homogeneous_1_5_to_1,GWO,90,183.76654639,591.01995483,1299.17958305,1.24143075,1.1617176
near_homogeneous_1_5_to_1,HHO,90,183.37411094,590.18597299,1299.15004869,1.2375996,1.15929531
near_homogeneous_1_5_to_1,LSCBO,90,164.47221775,549.58577977,1296.95180036,1.09974117,1.06516387
near_homogeneous_1_5_to_1,PSO,90,183.22317795,589.87223825,1299.15132486,1.23664902,1.15860834
near_homogeneous_1_5_to_1,WOA,90,183.28648376,589.98532551,1299.11748517,1.23844931,1.15969562
