weightProfile,algorithm,n,mean_makespan,mean_energy,mean_cost,mean_imbalance,mean_objective
W0_equal,AOA,5,164.94366679,480.02145827,677.35546943,1.73072343,1.54830181
W0_equal,CBO,5,164.08692106,477.31114385,675.68969993,1.6914879,1.5159024
W0_equal,DBO,5,168.16008456,486.79253106,677.48183382,1.73075869,1.54650323
W0_equal,GTO,5,165.97757906,481.51697705,676.17023223,1.72124252,1.5369234
W0_equal,GWO,5,167.95931298,486.41542824,677.55594215,1.7124817,1.53820167
W0_equal,HHO,5,159.14594972,467.40677518,676.39047889,1.66107293,1.49493483
W0_equal,LSCBO,5,127.98740689,397.21648205,666.89248685,1.38776129,1.27159096
W0_equal,PSO,5,167.0882554,483.99945951,676.47366436,1.74970571,1.5520647
W0_equal,WOA,5,164.62489844,478.52664441,675.86018579,1.69484758,1.51769168
W1_makespan_priority,AOA,5,164.94366679,480.02145827,677.35546943,1.73072343,1.68188148
W1_makespan_priority,CBO,5,166.34445476,482.4788975,676.52590515,1.70919562,1.66051026
W1_makespan_priority,DBO,5,167.88856716,485.98841248,677.05261064,1.73835458,1.68433245
W1_makespan_priority,GTO,5,166.30538616,482.11999451,676.02638701,1.72534491,1.66957634
W1_makespan_priority,GWO,5,166.57603856,483.43958421,677.38670198,1.69725821,1.65830247
W1_makespan_priority,HHO,5,160.40697713,469.94008474,676.22158327,1.66877417,1.6183453
W1_makespan_priority,LSCBO,5,126.09920144,392.8595966,666.13086348,1.3717598,1.31796783
W1_makespan_priority,PSO,5,166.77662568,483.56045305,676.85206417,1.71697073,1.67041737
W1_makespan_priority,WOA,5,164.98674214,479.27407857,675.84865339,1.71516376,1.65867246
W2_energy_priority,AOA,5,164.94366679,480.02145827,677.35546943,1.73072343,1.55966737
W2_energy_priority,CBO,5,166.34445476,482.4788975,676.52590515,1.70919562,1.5417744
W2_energy_priority,DBO,5,167.76426381,485.62806532,676.87012329,1.73730327,1.55881916
W2_energy_priority,GTO,5,165.82332364,482.09420889,677.78770734,1.67889876,1.52832067
W2_energy_priority,GWO,5,167.32936003,484.54983532,676.56019847,1.70982121,1.54515809
W2_energy_priority,HHO,5,160.03213874,469.17237962,676.24535805,1.64650523,1.49455095
W2_energy_priority,LSCBO,5,125.17698087,390.64335935,665.59996357,1.32394003,1.22856389
W2_energy_priority,PSO,5,166.74468991,483.21883412,676.35690925,1.71152734,1.53676896
W2_energy_priority,WOA,5,164.69326173,478.63053886,675.79083345,1.71230459,1.53702165
W3_cost_priority,AOA,5,164.94366679,480.02145827,677.35546943,1.73072343,1.34372374
W3_cost_priority,CBO,5,166.34445476,482.4788975,676.52590515,1.70919562,1.33297546
W3_cost_priority,DBO,5,167.00224485,484.30816277,677.35186983,1.70197786,1.33260084
W3_cost_priority,GTO,5,166.51868544,483.44730791,677.61567884,1.72304079,1.33931119
W3_cost_priority,GWO,5,167.32936003,484.54983532,676.56019847,1.70982121,1.33502511
W3_cost_priority,HHO,5,160.64479477,470.49985067,676.33734582,1.67621354,1.31713393
W3_cost_priority,LSCBO,5,125.17698087,390.64335935,665.59996357,1.32394003,1.14137286
W3_cost_priority,PSO,5,167.15784259,484.14630744,676.47703869,1.72948212,1.33870375
W3_cost_priority,WOA,5,164.69326173,478.63053886,675.79083345,1.71230459,1.33009648
W4_balance_priority,AOA,5,164.90682288,480.00637917,677.46649171,1.72417122,1.60436323
W4_balance_priority,CBO,5,165.17368527,479.62011428,675.77048096,1.70648374,1.58245982
W4_balance_priority,DBO,5,162.0606134,473.62794773,676.65860064,1.68288976,1.56704933
W4_balance_priority,GTO,5,168.68803405,487.76055911,677.2444737,1.7528268,1.62537015
W4_balance_priority,GWO,5,163.81523367,477.55406855,677.14579215,1.6964999,1.58010875
W4_balance_priority,HHO,5,159.15279689,467.74120064,676.96676783,1.6473521,1.5407686
W4_balance_priority,LSCBO,5,138.90125823,422.02973362,670.62939713,1.45064515,1.36359052
W4_balance_priority,PSO,5,167.05898211,484.04983523,676.6741155,1.71584665,1.59544668
W4_balance_priority,WOA,5,166.68764168,483.67102639,677.3847862,1.72147242,1.60143469
